dataset_id,donor_id,sample_id,assay,cell_lineage,expected_from_design,donor_level_cell_count,eligible_at_30_cells,evidence_basis
GSE202379,PCL103,GSM6112242,snRNA-seq,endothelial,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,PCL103,GSM6112242,snRNA-seq,mesenchymal_hsc_myofibroblast,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,P30,GSM6112243,snRNA-seq,macrophage_monocyte,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,P30,GSM6112243,snRNA-seq,endothelial,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,P30,GSM6112243,snRNA-seq,mesenchymal_hsc_myofibroblast,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,P98,GSM6112244,snRNA-seq,macrophage_monocyte,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,P98,GSM6112244,snRNA-seq,endothelial,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,P98,GSM6112244,snRNA-seq,mesenchymal_hsc_myofibroblast,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,PCL16,GSM6112245,snRNA-seq,macrophage_monocyte,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,PCL16,GSM6112245,snRNA-seq,endothelial,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,PCL16,GSM6112245,snRNA-seq,mesenchymal_hsc_myofibroblast,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,PCL16,GSM6112246,snRNA-seq,macrophage_monocyte,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,PCL16,GSM6112246,snRNA-seq,endothelial,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,PCL16,GSM6112246,snRNA-seq,mesenchymal_hsc_myofibroblast,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,PCL16,GSM6112247,snRNA-seq,macrophage_monocyte,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,PCL16,GSM6112247,snRNA-seq,endothelial,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,PCL16,GSM6112247,snRNA-seq,mesenchymal_hsc_myofibroblast,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,PCL104,GSM6112248,snRNA-seq,macrophage_monocyte,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,PCL104,GSM6112248,snRNA-seq,endothelial,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,PCL104,GSM6112248,snRNA-seq,mesenchymal_hsc_myofibroblast,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,PCL104,GSM6112249,snRNA-seq,macrophage_monocyte,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,PCL104,GSM6112249,snRNA-seq,endothelial,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,PCL104,GSM6112249,snRNA-seq,mesenchymal_hsc_myofibroblast,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,PCL104,GSM6112250,snRNA-seq,macrophage_monocyte,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,PCL104,GSM6112250,snRNA-seq,endothelial,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,PCL104,GSM6112250,snRNA-seq,mesenchymal_hsc_myofibroblast,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,P57,GSM6112251,snRNA-seq,macrophage_monocyte,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,P57,GSM6112251,snRNA-seq,endothelial,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,P57,GSM6112251,snRNA-seq,mesenchymal_hsc_myofibroblast,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,P11,GSM6112252,snRNA-seq,macrophage_monocyte,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,P11,GSM6112252,snRNA-seq,endothelial,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,P11,GSM6112252,snRNA-seq,mesenchymal_hsc_myofibroblast,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,P3,GSM6112253,snRNA-seq,macrophage_monocyte,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,P3,GSM6112253,snRNA-seq,endothelial,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,P3,GSM6112253,snRNA-seq,mesenchymal_hsc_myofibroblast,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,PCL18,GSM6112254,snRNA-seq,macrophage_monocyte,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,PCL18,GSM6112254,snRNA-seq,endothelial,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,PCL18,GSM6112254,snRNA-seq,mesenchymal_hsc_myofibroblast,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,P55,GSM6112255,snRNA-seq,macrophage_monocyte,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,P55,GSM6112255,snRNA-seq,endothelial,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,P55,GSM6112255,snRNA-seq,mesenchymal_hsc_myofibroblast,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,P56,GSM6112256,snRNA-seq,macrophage_monocyte,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,P56,GSM6112256,snRNA-seq,endothelial,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,P56,GSM6112256,snRNA-seq,mesenchymal_hsc_myofibroblast,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,PHL1,GSM6112257,snRNA-seq,macrophage_monocyte,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,PHL1,GSM6112257,snRNA-seq,endothelial,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,PHL1,GSM6112257,snRNA-seq,mesenchymal_hsc_myofibroblast,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,PCL18,GSM6112258,snRNA-seq,macrophage_monocyte,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,PCL18,GSM6112258,snRNA-seq,endothelial,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,PCL18,GSM6112258,snRNA-seq,mesenchymal_hsc_myofibroblast,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,P72,GSM6112259,snRNA-seq,macrophage_monocyte,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,P72,GSM6112259,snRNA-seq,endothelial,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,P72,GSM6112259,snRNA-seq,mesenchymal_hsc_myofibroblast,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,PHL1,GSM6112260,snRNA-seq,macrophage_monocyte,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,PHL1,GSM6112260,snRNA-seq,endothelial,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,PHL1,GSM6112260,snRNA-seq,mesenchymal_hsc_myofibroblast,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,P73,GSM6112261,snRNA-seq,macrophage_monocyte,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,P73,GSM6112261,snRNA-seq,endothelial,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,P73,GSM6112261,snRNA-seq,mesenchymal_hsc_myofibroblast,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,PCL17,GSM6112262,snRNA-seq,macrophage_monocyte,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,PCL17,GSM6112262,snRNA-seq,endothelial,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,PCL17,GSM6112262,snRNA-seq,mesenchymal_hsc_myofibroblast,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,PHL1,GSM6112263,snRNA-seq,macrophage_monocyte,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,PHL1,GSM6112263,snRNA-seq,endothelial,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,PHL1,GSM6112263,snRNA-seq,mesenchymal_hsc_myofibroblast,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,PCL17,GSM6112264,snRNA-seq,macrophage_monocyte,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,PCL17,GSM6112264,snRNA-seq,endothelial,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,PCL17,GSM6112264,snRNA-seq,mesenchymal_hsc_myofibroblast,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,PCL17,GSM6112265,snRNA-seq,macrophage_monocyte,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,PCL17,GSM6112265,snRNA-seq,endothelial,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,PCL17,GSM6112265,snRNA-seq,mesenchymal_hsc_myofibroblast,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,P84,GSM6112266,snRNA-seq,macrophage_monocyte,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,P84,GSM6112266,snRNA-seq,endothelial,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,P84,GSM6112266,snRNA-seq,mesenchymal_hsc_myofibroblast,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,PCL18,GSM6112267,snRNA-seq,macrophage_monocyte,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,PCL18,GSM6112267,snRNA-seq,endothelial,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,PCL18,GSM6112267,snRNA-seq,mesenchymal_hsc_myofibroblast,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE210077_Watson6,AM042,GSM6416567/Liver-13,snRNA-seq + MERFISH,macrophage_monocyte,yes,not computed in Phase 0,pending,matched snRNA/MERFISH; lineage labels in object
GSE210077_Watson6,AM042,GSM6416567/Liver-13,snRNA-seq + MERFISH,endothelial,yes,not computed in Phase 0,pending,matched snRNA/MERFISH; lineage labels in object
GSE210077_Watson6,AM042,GSM6416567/Liver-13,snRNA-seq + MERFISH,mesenchymal_hsc_myofibroblast,yes,not computed in Phase 0,pending,matched snRNA/MERFISH; lineage labels in object
GSE210077_Watson6,AM061,GSM6416578/Liver-18,snRNA-seq + MERFISH,macrophage_monocyte,yes,not computed in Phase 0,pending,matched snRNA/MERFISH; lineage labels in object
GSE210077_Watson6,AM061,GSM6416578/Liver-18,snRNA-seq + MERFISH,endothelial,yes,not computed in Phase 0,pending,matched snRNA/MERFISH; lineage labels in object
GSE210077_Watson6,AM061,GSM6416578/Liver-18,snRNA-seq + MERFISH,mesenchymal_hsc_myofibroblast,yes,not computed in Phase 0,pending,matched snRNA/MERFISH; lineage labels in object
GSE210077_Watson6,AM048,GSM6416569/Liver-14,snRNA-seq + MERFISH,macrophage_monocyte,yes,not computed in Phase 0,pending,matched snRNA/MERFISH; lineage labels in object
GSE210077_Watson6,AM048,GSM6416569/Liver-14,snRNA-seq + MERFISH,endothelial,yes,not computed in Phase 0,pending,matched snRNA/MERFISH; lineage labels in object
GSE210077_Watson6,AM048,GSM6416569/Liver-14,snRNA-seq + MERFISH,mesenchymal_hsc_myofibroblast,yes,not computed in Phase 0,pending,matched snRNA/MERFISH; lineage labels in object
GSE210077_Watson6,AM031,GSM8493744/Liver-32,snRNA-seq + MERFISH,macrophage_monocyte,yes,not computed in Phase 0,pending,matched snRNA/MERFISH; lineage labels in object
GSE210077_Watson6,AM031,GSM8493744/Liver-32,snRNA-seq + MERFISH,endothelial,yes,not computed in Phase 0,pending,matched snRNA/MERFISH; lineage labels in object
GSE210077_Watson6,AM031,GSM8493744/Liver-32,snRNA-seq + MERFISH,mesenchymal_hsc_myofibroblast,yes,not computed in Phase 0,pending,matched snRNA/MERFISH; lineage labels in object
GSE210077_Watson6,AM062,GSM8493745/Liver-33,snRNA-seq + MERFISH,macrophage_monocyte,yes,not computed in Phase 0,pending,matched snRNA/MERFISH; lineage labels in object
GSE210077_Watson6,AM062,GSM8493745/Liver-33,snRNA-seq + MERFISH,endothelial,yes,not computed in Phase 0,pending,matched snRNA/MERFISH; lineage labels in object
GSE210077_Watson6,AM062,GSM8493745/Liver-33,snRNA-seq + MERFISH,mesenchymal_hsc_myofibroblast,yes,not computed in Phase 0,pending,matched snRNA/MERFISH; lineage labels in object
GSE210077_Watson6,AM072,GSM8493746/Liver-34,snRNA-seq + MERFISH,macrophage_monocyte,yes,not computed in Phase 0,pending,matched snRNA/MERFISH; lineage labels in object
GSE210077_Watson6,AM072,GSM8493746/Liver-34,snRNA-seq + MERFISH,endothelial,yes,not computed in Phase 0,pending,matched snRNA/MERFISH; lineage labels in object
GSE210077_Watson6,AM072,GSM8493746/Liver-34,snRNA-seq + MERFISH,mesenchymal_hsc_myofibroblast,yes,not computed in Phase 0,pending,matched snRNA/MERFISH; lineage labels in object
GSE290642_human,Fibrosis_1,GSM8818766,scRNA-seq,macrophage_monocyte,yes,not computed in Phase 0,pending,NPC scRNA; three F4; per-state ≥30 audit pending
GSE290642_human,Fibrosis_1,GSM8818766,scRNA-seq,endothelial,yes,not computed in Phase 0,pending,NPC scRNA; three F4; per-state ≥30 audit pending
GSE290642_human,Fibrosis_1,GSM8818766,scRNA-seq,mesenchymal_hsc_myofibroblast,yes,not computed in Phase 0,pending,NPC scRNA; three F4; per-state ≥30 audit pending
GSE290642_human,Fibrosis_2,GSM8818767,scRNA-seq,macrophage_monocyte,yes,not computed in Phase 0,pending,NPC scRNA; three F4; per-state ≥30 audit pending
GSE290642_human,Fibrosis_2,GSM8818767,scRNA-seq,endothelial,yes,not computed in Phase 0,pending,NPC scRNA; three F4; per-state ≥30 audit pending
GSE290642_human,Fibrosis_2,GSM8818767,scRNA-seq,mesenchymal_hsc_myofibroblast,yes,not computed in Phase 0,pending,NPC scRNA; three F4; per-state ≥30 audit pending
GSE290642_human,Fibrosis_3,GSM8818768,scRNA-seq,macrophage_monocyte,yes,not computed in Phase 0,pending,NPC scRNA; three F4; per-state ≥30 audit pending
GSE290642_human,Fibrosis_3,GSM8818768,scRNA-seq,endothelial,yes,not computed in Phase 0,pending,NPC scRNA; three F4; per-state ≥30 audit pending
GSE290642_human,Fibrosis_3,GSM8818768,scRNA-seq,mesenchymal_hsc_myofibroblast,yes,not computed in Phase 0,pending,NPC scRNA; three F4; per-state ≥30 audit pending
GSE290642_human,Fibrosis_4,GSM8818769,scRNA-seq,macrophage_monocyte,yes,not computed in Phase 0,pending,NPC scRNA; three F4; per-state ≥30 audit pending
GSE290642_human,Fibrosis_4,GSM8818769,scRNA-seq,endothelial,yes,not computed in Phase 0,pending,NPC scRNA; three F4; per-state ≥30 audit pending
GSE290642_human,Fibrosis_4,GSM8818769,scRNA-seq,mesenchymal_hsc_myofibroblast,yes,not computed in Phase 0,pending,NPC scRNA; three F4; per-state ≥30 audit pending
GSE290642_human,Fibrosis_5,GSM8818770,scRNA-seq,macrophage_monocyte,yes,not computed in Phase 0,pending,NPC scRNA; three F4; per-state ≥30 audit pending
GSE290642_human,Fibrosis_5,GSM8818770,scRNA-seq,endothelial,yes,not computed in Phase 0,pending,NPC scRNA; three F4; per-state ≥30 audit pending
GSE290642_human,Fibrosis_5,GSM8818770,scRNA-seq,mesenchymal_hsc_myofibroblast,yes,not computed in Phase 0,pending,NPC scRNA; three F4; per-state ≥30 audit pending
GSE290642_human,Fibrosis_6,GSM8818771,scRNA-seq,macrophage_monocyte,yes,not computed in Phase 0,pending,NPC scRNA; three F4; per-state ≥30 audit pending
GSE290642_human,Fibrosis_6,GSM8818771,scRNA-seq,endothelial,yes,not computed in Phase 0,pending,NPC scRNA; three F4; per-state ≥30 audit pending
GSE290642_human,Fibrosis_6,GSM8818771,scRNA-seq,mesenchymal_hsc_myofibroblast,yes,not computed in Phase 0,pending,NPC scRNA; three F4; per-state ≥30 audit pending
GSE290642_human,Fibrosis_7,GSM8818772,scRNA-seq,macrophage_monocyte,yes,not computed in Phase 0,pending,NPC scRNA; three F4; per-state ≥30 audit pending
GSE290642_human,Fibrosis_7,GSM8818772,scRNA-seq,endothelial,yes,not computed in Phase 0,pending,NPC scRNA; three F4; per-state ≥30 audit pending
GSE290642_human,Fibrosis_7,GSM8818772,scRNA-seq,mesenchymal_hsc_myofibroblast,yes,not computed in Phase 0,pending,NPC scRNA; three F4; per-state ≥30 audit pending
GSE290642_human,Fibrosis_8,GSM8818773,scRNA-seq,macrophage_monocyte,yes,not computed in Phase 0,pending,NPC scRNA; three F4; per-state ≥30 audit pending
GSE290642_human,Fibrosis_8,GSM8818773,scRNA-seq,endothelial,yes,not computed in Phase 0,pending,NPC scRNA; three F4; per-state ≥30 audit pending
GSE290642_human,Fibrosis_8,GSM8818773,scRNA-seq,mesenchymal_hsc_myofibroblast,yes,not computed in Phase 0,pending,NPC scRNA; three F4; per-state ≥30 audit pending
GSE290642_human,Fibrosis_9,GSM8818774,scRNA-seq,macrophage_monocyte,yes,not computed in Phase 0,pending,NPC scRNA; three F4; per-state ≥30 audit pending
GSE290642_human,Fibrosis_9,GSM8818774,scRNA-seq,endothelial,yes,not computed in Phase 0,pending,NPC scRNA; three F4; per-state ≥30 audit pending
GSE290642_human,Fibrosis_9,GSM8818774,scRNA-seq,mesenchymal_hsc_myofibroblast,yes,not computed in Phase 0,pending,NPC scRNA; three F4; per-state ≥30 audit pending
GSE290642_human,Fibrosis_10,GSM8818775,scRNA-seq,macrophage_monocyte,yes,not computed in Phase 0,pending,NPC scRNA; three F4; per-state ≥30 audit pending
GSE290642_human,Fibrosis_10,GSM8818775,scRNA-seq,endothelial,yes,not computed in Phase 0,pending,NPC scRNA; three F4; per-state ≥30 audit pending
GSE290642_human,Fibrosis_10,GSM8818775,scRNA-seq,mesenchymal_hsc_myofibroblast,yes,not computed in Phase 0,pending,NPC scRNA; three F4; per-state ≥30 audit pending
GSE290642_human,Fibrosis_11,GSM8818776,scRNA-seq,macrophage_monocyte,yes,not computed in Phase 0,pending,NPC scRNA; three F4; per-state ≥30 audit pending
GSE290642_human,Fibrosis_11,GSM8818776,scRNA-seq,endothelial,yes,not computed in Phase 0,pending,NPC scRNA; three F4; per-state ≥30 audit pending
GSE290642_human,Fibrosis_11,GSM8818776,scRNA-seq,mesenchymal_hsc_myofibroblast,yes,not computed in Phase 0,pending,NPC scRNA; three F4; per-state ≥30 audit pending
GSE290642_human,Fibrosis_12,GSM8818777,scRNA-seq,macrophage_monocyte,yes,not computed in Phase 0,pending,NPC scRNA; three F4; per-state ≥30 audit pending
GSE290642_human,Fibrosis_12,GSM8818777,scRNA-seq,endothelial,yes,not computed in Phase 0,pending,NPC scRNA; three F4; per-state ≥30 audit pending
GSE290642_human,Fibrosis_12,GSM8818777,scRNA-seq,mesenchymal_hsc_myofibroblast,yes,not computed in Phase 0,pending,NPC scRNA; three F4; per-state ≥30 audit pending
GSE290642_human,Fibrosis_13,GSM8818778,scRNA-seq,macrophage_monocyte,yes,not computed in Phase 0,pending,NPC scRNA; three F4; per-state ≥30 audit pending
GSE290642_human,Fibrosis_13,GSM8818778,scRNA-seq,endothelial,yes,not computed in Phase 0,pending,NPC scRNA; three F4; per-state ≥30 audit pending
GSE290642_human,Fibrosis_13,GSM8818778,scRNA-seq,mesenchymal_hsc_myofibroblast,yes,not computed in Phase 0,pending,NPC scRNA; three F4; per-state ≥30 audit pending
GSE290642_human,Fibrosis_14,GSM9472816,scRNA-seq,macrophage_monocyte,yes,not computed in Phase 0,pending,NPC scRNA; three F4; per-state ≥30 audit pending
GSE290642_human,Fibrosis_14,GSM9472816,scRNA-seq,endothelial,yes,not computed in Phase 0,pending,NPC scRNA; three F4; per-state ≥30 audit pending
GSE290642_human,Fibrosis_14,GSM9472816,scRNA-seq,mesenchymal_hsc_myofibroblast,yes,not computed in Phase 0,pending,NPC scRNA; three F4; per-state ≥30 audit pending
GSE290642_human,Fibrosis_15,GSM9472817,scRNA-seq,macrophage_monocyte,yes,not computed in Phase 0,pending,NPC scRNA; three F4; per-state ≥30 audit pending
GSE290642_human,Fibrosis_15,GSM9472817,scRNA-seq,endothelial,yes,not computed in Phase 0,pending,NPC scRNA; three F4; per-state ≥30 audit pending
GSE290642_human,Fibrosis_15,GSM9472817,scRNA-seq,mesenchymal_hsc_myofibroblast,yes,not computed in Phase 0,pending,NPC scRNA; three F4; per-state ≥30 audit pending
GSE290642_human,Fibrosis_16,GSM9472818,scRNA-seq,macrophage_monocyte,yes,not computed in Phase 0,pending,NPC scRNA; three F4; per-state ≥30 audit pending
GSE290642_human,Fibrosis_16,GSM9472818,scRNA-seq,endothelial,yes,not computed in Phase 0,pending,NPC scRNA; three F4; per-state ≥30 audit pending
GSE290642_human,Fibrosis_16,GSM9472818,scRNA-seq,mesenchymal_hsc_myofibroblast,yes,not computed in Phase 0,pending,NPC scRNA; three F4; per-state ≥30 audit pending
GSE290642_human,Fibrosis_17,GSM9472819,scRNA-seq,macrophage_monocyte,yes,not computed in Phase 0,pending,NPC scRNA; three F4; per-state ≥30 audit pending
GSE290642_human,Fibrosis_17,GSM9472819,scRNA-seq,endothelial,yes,not computed in Phase 0,pending,NPC scRNA; three F4; per-state ≥30 audit pending
GSE290642_human,Fibrosis_17,GSM9472819,scRNA-seq,mesenchymal_hsc_myofibroblast,yes,not computed in Phase 0,pending,NPC scRNA; three F4; per-state ≥30 audit pending
GSE290642_human,Fibrosis_18,GSM9472820,scRNA-seq,macrophage_monocyte,yes,not computed in Phase 0,pending,NPC scRNA; three F4; per-state ≥30 audit pending
GSE290642_human,Fibrosis_18,GSM9472820,scRNA-seq,endothelial,yes,not computed in Phase 0,pending,NPC scRNA; three F4; per-state ≥30 audit pending
GSE290642_human,Fibrosis_18,GSM9472820,scRNA-seq,mesenchymal_hsc_myofibroblast,yes,not computed in Phase 0,pending,NPC scRNA; three F4; per-state ≥30 audit pending
GSE290642_human,Fibrosis_19,GSM9472821,scRNA-seq,macrophage_monocyte,yes,not computed in Phase 0,pending,NPC scRNA; three F4; per-state ≥30 audit pending
GSE290642_human,Fibrosis_19,GSM9472821,scRNA-seq,endothelial,yes,not computed in Phase 0,pending,NPC scRNA; three F4; per-state ≥30 audit pending
GSE290642_human,Fibrosis_19,GSM9472821,scRNA-seq,mesenchymal_hsc_myofibroblast,yes,not computed in Phase 0,pending,NPC scRNA; three F4; per-state ≥30 audit pending
GSE290642_human,Fibrosis_20,GSM9472822,scRNA-seq,macrophage_monocyte,yes,not computed in Phase 0,pending,NPC scRNA; three F4; per-state ≥30 audit pending
GSE290642_human,Fibrosis_20,GSM9472822,scRNA-seq,endothelial,yes,not computed in Phase 0,pending,NPC scRNA; three F4; per-state ≥30 audit pending
GSE290642_human,Fibrosis_20,GSM9472822,scRNA-seq,mesenchymal_hsc_myofibroblast,yes,not computed in Phase 0,pending,NPC scRNA; three F4; per-state ≥30 audit pending
GSE290642_human,Fibrosis_21,GSM9472823,scRNA-seq,macrophage_monocyte,yes,not computed in Phase 0,pending,NPC scRNA; three F4; per-state ≥30 audit pending
